GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacocotest,com.hz.jacocotest,DemoApplication,5,3,0,0,2,1,1,1,1,1
jacocotest,com.hz.jacocotest.controller,JacocoTest,3,25,4,6,0,9,3,5,0,3
